name,name_2,id,goal_assist,goals,expected_goals_per_90,expected_assists_per_90,rating,nation,pos,squad,born,comp
Daniel Rodriguez,goals,213516,7.0,4.0,0.12,0.15,6.74,es ESP,FW,Barcelona,1998.0,La Liga
Kike Pérez,goals,888167,0.0,2.0,0.15,0.08,6.74,es ESP,MF,Valladolid,1997.0,La Liga
Aitor Ruibal,goals,676533,3.0,1.0,0.06,0.14,6.74,es ESP,DF,Betis,1996.0,La Liga
Juanlu Sánchez,goals,1158512,4.0,4.0,0.15,0.09,6.74,es ESP,MF,Sevilla,2003.0,La Liga
David Lopez,goals,215584,0.0,1.0,0.03,0.02,6.73,es ESP,DF,Girona,1991.0,La Liga
Mika Mármol,goals,1225450,1.0,0.0,0.02,0.08,6.73,es ESP,MF,Las Palmas,2000.0,La Liga
Alfon González,goals,926643,2.0,4.0,0.29,0.15,6.73,es ESP,FW,Celta Vigo,1997.0,La Liga
Antonio Blanco,goals,845998,1.0,0.0,0.03,0.06,6.72,es ESP,MF,Alavés,2000.0,La Liga
Fran Beltrán,goals,785511,1.0,2.0,0.04,0.07,6.71,es ESP,MF,Celta Vigo,1999.0,La Liga
Djené,goals,421365,0.0,0.0,0.01,0.03,6.7,tg TOG,DF,Getafe,1991.0,La Liga
Borja Iglesias,goals,609505,3.0,10.0,0.41,0.07,6.69,es ESP,FW,Celta Vigo,1993.0,La Liga
Jorge de Frutos,goals,797901,3.0,4.0,0.19,0.09,6.69,es ESP,MF,Rayo Vallecano,1997.0,La Liga
Hugo Sotelo,goals,1254218,0.0,0.0,0.01,0.13,6.68,es ESP,MF,Celta Vigo,2003.0,La Liga
Hugo Duro,goals,929838,2.0,11.0,0.41,0.02,6.68,es ESP,FW,Valencia,1999.0,La Liga
Alex Munoz,goals,512040,0.0,3.0,0.05,0.04,6.67,es ESP,DF,Las Palmas,1998.0,La Liga
Omar Mascarell,goals,359191,0.0,1.0,0.02,0.01,6.67,gq EQG,MF,Mallorca,1993.0,La Liga
Oliver McBurnie,goals,509151,6.0,3.0,0.26,0.05,6.66,sct SCO,FW,Las Palmas,1996.0,La Liga
Jofre Carreras,goals,1184777,3.0,3.0,0.1,0.08,6.66,es ESP,FW,Espanyol,1996.0,La Liga
Iván Sánchez,goals,553256,1.0,2.0,0.04,0.16,6.65,es ESP,MF,Valladolid,1992.0,La Liga
Pol Lozano,goals,750031,1.0,0.0,0.01,0.05,6.65,es ESP,MF,Espanyol,1999.0,La Liga
Carles Alena,goals,637756,2.0,0.0,0.1,0.07,6.65,es ESP,MF,Getafe,1997.0,La Liga
Paulo Gazzaniga,goals,278285,0.0,0.0,0.0,0.0,6.64,ar ARG,GK,Girona,1992.0,La Liga
Sergio González,goals,813771,0.0,2.0,0.05,0.02,6.64,es ESP,DF,Leganés,1998.0,La Liga
Mikel Vesga,goals,616545,0.0,0.0,0.12,0.06,6.64,es ESP,MF,Athletic Club,1993.0,La Liga
Oscar Rodriguez,goals,863168,4.0,1.0,0.13,0.11,6.64,es ESP,MF,Leganés,1997.0,La Liga
Álvaro Tejero,goals,671685,4.0,1.0,0.05,0.26,6.64,es ESP,DF,Espanyol,1996.0,La Liga
